Date,Price,Open,High,Low,Vol.,Change %,Index
2023-09-18,3000.7,2986.6,3010.4,2972.8,364.88M,0.47,Technology
2023-09-19,2998.4,3000.7,3006.2,2970.8,350.06M,-0.08,Technology
2023-09-20,2945.2,2998.4,3008.8,2944.9,386.69M,-1.77,Technology
2023-09-21,2900.5,2945.2,2945.2,2900.0,450.00M,-1.52,Technology
2023-09-22,2908.0,2900.5,2936.2,2900.5,364.11M,0.26,Technology
2023-09-25,2921.6,2908.0,2925.6,2893.8,315.23M,0.47,Technology
2023-09-26,2869.6,2921.6,2921.6,2859.6,380.52M,-1.78,Technology
2023-09-27,2874.5,2869.6,2889.3,2844.7,395.10M,0.17,Technology
2023-09-28,2894.2,2874.5,2913.0,2847.5,426.25M,0.69,Technology
2023-09-29,2905.6,2894.2,2939.8,2894.2,373.55M,0.39,Technology
2023-10-02,2944.2,2905.6,2951.9,2905.6,384.13M,1.33,Technology
2023-10-03,2890.6,2944.2,2946.1,2875.9,379.16M,-1.82,Technology
2023-10-04,2926.8,2890.6,2933.8,2890.6,360.02M,1.25,Technology
2023-10-05,2934.1,2926.8,2939.3,2898.7,334.35M,0.25,Technology
2023-10-06,2991.1,2934.1,3002.4,2906.3,390.96M,1.94,Technology
2023-10-09,3004.0,2991.1,3008.9,2955.6,283.23M,0.43,Technology
2023-10-10,3008.6,3004.0,3032.6,2997.7,334.59M,0.15,Technology
2023-10-11,3038.9,3008.6,3040.1,3008.6,325.94M,1.01,Technology
2023-10-12,3042.1,3038.9,3072.4,3018.6,374.08M,0.1,Technology
2023-10-13,2995.8,3042.1,3053.8,2986.8,364.26M,-1.52,Technology
2023-10-16,3025.0,2995.8,3037.4,2995.8,339.55M,0.98,Technology
2023-10-17,3001.6,3025.0,3025.0,2953.3,395.63M,-0.77,Technology
2023-10-18,2964.7,3001.6,3001.6,2952.1,368.40M,-1.23,Technology
2023-10-19,2951.8,2964.7,3000.5,2946.6,402.54M,-0.44,Technology
2023-10-20,2902.0,2951.8,2952.7,2898.3,481.14M,-1.69,Technology
2023-10-23,2914.2,2902.0,2939.9,2869.8,397.26M,0.42,Technology
2023-10-24,2934.8,2914.2,2938.9,2901.8,382.90M,0.71,Technology
2023-10-25,2900.0,2934.8,2954.1,2892.0,443.68M,-1.19,Technology
2023-10-26,2837.1,2899.8,2915.4,2824.8,491.19M,-2.17,Technology
2023-10-27,2853.5,2859.6,2883.1,2841.4,452.01M,0.58,Technology
2023-10-30,2887.4,2872.6,2899.9,2862.9,417.94M,1.19,Technology
2023-10-31,2903.5,2885.3,2905.6,2858.9,440.14M,0.56,Technology
2023-11-01,2963.9,2911.1,2967.2,2911.1,542.67M,2.08,Technology
2023-11-02,3014.8,2995.1,3018.1,2987.7,476.06M,1.71,Technology
2023-11-03,3048.7,3011.1,3060.2,3004.0,475.18M,1.12,Technology
2023-11-06,3072.5,3052.8,3073.6,3045.8,380.67M,0.78,Technology
2023-11-07,3105.8,3082.2,3115.7,3075.6,394.88M,1.08,Technology
2023-11-08,3125.6,3115.1,3130.0,3104.5,360.72M,0.64,Technology
2023-11-09,3113.0,3132.9,3156.8,3108.8,435.22M,-0.4,Technology
2023-11-10,3193.8,3134.0,3195.1,3128.3,432.12M,2.59,Technology
2023-11-13,3176.6,3180.5,3185.6,3163.4,330.25M,-0.54,Technology
2023-11-14,3237.5,3225.6,3245.6,3215.1,442.65M,1.92,Technology
2023-11-15,3235.0,3248.3,3253.1,3222.2,434.36M,-0.08,Technology
2023-11-16,3256.9,3233.1,3258.8,3226.9,518.14M,0.68,Technology
2023-11-17,3247.7,3247.6,3260.7,3234.1,407.82M,-0.28,Technology
2023-11-20,3296.5,3252.1,3304.7,3252.1,407.06M,1.5,Technology
2023-11-21,3269.0,3282.6,3287.2,3256.6,379.90M,-0.83,Technology
2023-11-22,3278.1,3289.6,3309.6,3266.2,397.45M,0.28,Technology
2023-11-24,3267.7,3271.9,3275.6,3256.6,165.93M,-0.32,Technology
2023-11-27,3269.1,3264.5,3287.8,3258.3,331.31M,0.04,Technology
2023-11-28,3275.4,3261.6,3284.3,3259.7,333.31M,0.19,Technology
2023-11-29,3275.7,3300.5,3311.0,3273.1,395.43M,0.01,Technology
2023-11-30,3273.1,3284.7,3290.2,3247.0,581.16M,-0.08,Technology
2023-12-01,3278.6,3266.8,3285.9,3248.1,388.62M,0.17,Technology
2023-12-04,3235.7,3243.2,3243.8,3200.2,392.44M,-1.31,Technology
2023-12-05,3262.1,3224.1,3266.1,3223.1,366.93M,0.82,Technology
