"Date","Price","Open","High","Low","Vol.","Change %"
"06/23/2021","2,538.0","2,540.9","2,547.3","2,533.2","304.82M","-0.11%"
"06/22/2021","2,540.9","2,518.4","2,542.6","2,514.6","347.91M","0.89%"
"06/21/2021","2,518.4","2,491.9","2,519.7","2,477.4","384.29M","1.07%"
"06/18/2021","2,491.9","2,515.4","2,515.4","2,489.3","681.53M","-0.93%"
"06/17/2021","2,515.4","2,486.3","2,525.2","2,480.4","468.92M","1.17%"
"06/16/2021","2,486.3","2,499.3","2,509.2","2,462.0","399.72M","-0.52%"
"06/15/2021","2,499.3","2,515.4","2,515.4","2,495.5","309.05M","-0.64%"
"06/14/2021","2,515.4","2,489.5","2,515.6","2,482.9","364.74M","1.04%"
"06/11/2021","2,489.5","2,475.7","2,489.6","2,475.7","296.70M","0.56%"
"06/10/2021","2,475.7","2,457.3","2,481.4","2,454.3","360.04M","0.75%"
"06/09/2021","2,457.3","2,455.8","2,471.7","2,455.8","304.52M","0.06%"
"06/08/2021","2,455.8","2,455.2","2,477.5","2,449.2","364.50M","0.02%"
"06/07/2021","2,455.2","2,455.6","2,458.5","2,443.7","323.61M","-0.02%"
"06/04/2021","2,455.6","2,409.4","2,459.0","2,409.4","339.15M","1.92%"
"06/03/2021","2,409.4","2,431.7","2,431.7","2,395.4","367.70M","-0.91%"
"06/02/2021","2,431.7","2,416.6","2,442.0","2,416.6","347.69M","0.62%"
"06/01/2021","2,416.6","2,426.9","2,441.5","2,412.1","358.08M","-0.42%"
"05/28/2021","2,426.9","2,419.6","2,442.0","2,419.6","379.08M","0.30%"
"05/27/2021","2,419.6","2,432.4","2,439.8","2,419.5","541.04M","-0.53%"
"05/26/2021","2,432.4","2,432.7","2,442.2","2,424.5","315.65M","-0.01%"
"05/25/2021","2,432.7","2,431.2","2,446.5","2,427.0","380.66M","0.06%"
"05/24/2021","2,431.2","2,389.2","2,440.0","2,389.2","335.38M","1.76%"
"05/21/2021","2,389.2","2,401.8","2,416.5","2,387.2","389.02M","-0.52%"
"05/20/2021","2,401.8","2,357.7","2,410.3","2,357.7","437.69M","1.87%"
"05/19/2021","2,357.7","2,350.0","2,358.8","2,310.6","465.22M","0.33%"
"05/18/2021","2,350.0","2,369.3","2,380.9","2,348.9","340.93M","-0.82%"
"05/17/2021","2,369.3","2,386.0","2,386.0","2,347.9","380.48M","-0.70%"
"05/14/2021","2,386.0","2,336.4","2,394.8","2,336.4","394.04M","2.12%"
"05/13/2021","2,336.4","2,304.8","2,356.0","2,304.8","458.10M","1.37%"
"05/12/2021","2,304.8","2,372.7","2,372.7","2,298.8","511.18M","-2.86%"
"05/11/2021","2,372.7","2,378.5","2,378.5","2,328.2","519.63M","-0.24%"
"05/10/2021","2,378.5","2,440.4","2,440.4","2,378.5","471.24M","-2.53%"
"05/07/2021","2,440.4","2,421.4","2,454.6","2,421.4","386.37M","0.78%"
"05/06/2021","2,421.4","2,397.1","2,422.1","2,378.8","421.60M","1.01%"
"05/05/2021","2,397.1","2,401.0","2,425.7","2,393.0","362.42M","-0.16%"
"05/04/2021","2,401.0","2,447.3","2,447.3","2,376.4","539.13M","-1.89%"
"05/03/2021","2,447.3","2,452.6","2,471.9","2,441.0","410.64M","-0.22%"
"04/30/2021","2,452.6","2,488.1","2,488.1","2,448.2","481.08M","-1.43%"
"04/29/2021","2,488.1","2,488.7","2,513.2","2,462.9","494.45M","-0.03%"
"04/28/2021","2,488.7","2,512.9","2,512.9","2,484.4","512.20M","-0.96%"
"04/27/2021","2,512.9","2,519.9","2,526.5","2,505.3","393.05M","-0.27%"
"04/26/2021","2,519.9","2,505.7","2,522.1","2,505.7","383.47M","0.56%"
"04/23/2021","2,505.7","2,470.1","2,514.7","2,470.1","434.98M","1.44%"
"04/22/2021","2,470.1","2,499.6","2,505.4","2,459.1","443.76M","-1.18%"
"04/21/2021","2,499.6","2,474.3","2,500.1","2,463.1","383.52M","1.02%"
"04/20/2021","2,474.3","2,495.2","2,501.7","2,460.9","379.78M","-0.84%"
"04/19/2021","2,495.2","2,517.3","2,517.6","2,481.7","407.54M","-0.88%"
"04/16/2021","2,517.3","2,518.1","2,522.4","2,507.0","404.69M","-0.03%"
"04/15/2021","2,518.1","2,473.9","2,519.6","2,473.9","429.02M","1.79%"
"04/14/2021","2,473.9","2,502.6","2,502.7","2,470.6","372.85M","-1.15%"
"04/13/2021","2,502.6","2,478.9","2,503.7","2,478.9","403.40M","0.95%"
"04/12/2021","2,478.9","2,491.0","2,491.0","2,466.7","447.09M","-0.48%"
"04/09/2021","2,491.0","2,466.6","2,491.4","2,453.7","379.23M","0.99%"
"04/08/2021","2,466.6","2,432.0","2,466.8","2,432.0","392.22M","1.42%"
"04/07/2021","2,432.0","2,419.0","2,436.0","2,409.3","350.77M","0.54%"
"04/06/2021","2,419.0","2,428.2","2,433.1","2,411.8","382.24M","-0.38%"
"04/05/2021","2,428.2","2,380.0","2,433.1","2,380.0","432.35M","2.02%"
"04/01/2021","2,380.0","2,331.1","2,380.7","2,331.1","437.14M","2.10%"
"03/31/2021","2,331.1","2,296.7","2,347.6","2,296.7","503.98M","1.50%"
"03/30/2021","2,296.7","2,318.6","2,318.6","2,283.3","367.76M","-0.95%"
"03/29/2021","2,318.6","2,330.6","2,330.8","2,301.7","419.54M","-0.51%"
"03/26/2021","2,330.6","2,272.9","2,333.3","2,271.8","478.82M","2.54%"
"03/25/2021","2,272.9","2,274.5","2,283.0","2,244.1","470.04M","-0.07%"
"03/24/2021","2,274.5","2,302.3","2,316.5","2,274.2","472.79M","-1.21%"
"03/23/2021","2,302.3","2,317.0","2,333.2","2,296.2","449.63M","-0.64%"
"03/22/2021","2,317.0","2,273.1","2,328.1","2,273.1","453.32M","1.93%"
"03/19/2021","2,273.1","2,278.8","2,289.7","2,261.9","911.25M","-0.25%"
"03/18/2021","2,278.8","2,345.6","2,345.6","2,277.2","501.07M","-2.85%"
"03/17/2021","2,345.6","2,348.2","2,358.8","2,310.6","451.52M","-0.11%"
"03/16/2021","2,348.2","2,329.8","2,369.6","2,329.8","451.30M","0.79%"
"03/15/2021","2,329.8","2,304.3","2,330.8","2,297.6","395.32M","1.11%"
